date,max_temp,min_temp
2021-08-01,30.5,13.3
2021-08-02,21.6,14.7
2021-08-03,26.0,13.1
2021-08-04,25.4,10.7
2021-08-05,26.8,9.9
2021-08-06,23.3,10.6
2021-08-07,18.9,8.8
2021-08-08,12.8,10.0
2021-08-09,20.9,7.1
2021-08-10,21.6,11.0
2021-08-11,24.6,11.0
2021-08-12,26.1,8.9
2021-08-13,28.5,8.3
2021-08-14,29.0,10.7
2022-08-01,27.7,16.0
2022-08-02,22.1,9.9
2022-08-03,23.5,9.3
2022-08-04,17.3,7.2
2022-08-05,15.7,4.7
2022-08-06,22.4,2.4
2022-08-07,26.2,7.9
2022-08-08,27.2,8.6
2022-08-09,28.1,8.4
2022-08-10,27.3,12.9
2022-08-11,28.4,11.4
2022-08-12,28.3,10.4
2022-08-13,25.3,10.6
2022-08-14,24.5,7.4
2023-08-01,24.8,8.0
2023-08-02,26.2,6.6
2023-08-03,25.2,8.6
2023-08-04,24.8,12.8
2023-08-05,21.8,10.1
2023-08-06,23.5,8.8
2023-08-07,24.3,6.9
2023-08-08,20.7,8.1
2023-08-09,18.5,9.3
2023-08-10,18.7,8.0
2023-08-11,21.2,4.6
2023-08-12,21.5,9.2
2023-08-13,28.2,7.1
2023-08-14,28.8,10.6
2024-08-01,28.1,9.5
2024-08-02,29.3,11.5
2024-08-03,27.4,12.5
2024-08-04,24.5,10.6
2024-08-05,22.2,9.4
2024-08-06,19.1,11.6
2024-08-07,16.5,9.8
2024-08-08,19.2,5.2
2024-08-09,21.9,5.2
2024-08-10,22.6,6.3
2024-08-11,22.9,6.3
2024-08-12,21.8,7.8
2024-08-13,23.0,7.8
2024-08-14,22.3,7.9
2025-08-01,27.0,11.1
2025-08-02,24.2,9.8
2025-08-03,21.1,10.7
2025-08-04,21.8,7.8
2025-08-05,22.2,6.5
2025-08-06,20.3,8.4
2025-08-07,19.8,8.7
2025-08-08,19.6,10.2
2025-08-09,22.3,7.4
2025-08-10,24.4,9.8
2025-08-11,23.9,8.8
2025-08-12,25.6,9.5
2025-08-13,21.7,9.5
2025-08-14,20.0,8.7
